26137,26137,25,4,15080,0,5,4,14,4,4,1,0,0,39,39,1
26138,26138,29,1,2774,11,8,2,1,0,4,1,0,0,39,11,1
26139,26139,30,4,5503,11,8,2,14,0,4,1,0,0,49,39,1
26140,26140,36,4,2317,15,9,2,13,0,4,1,0,0,39,39,0
26141,26141,25,4,14660,15,9,6,12,4,2,0,0,0,39,39,0
26142,26142,23,4,5266,11,8,0,12,1,4,1,0,0,59,39,1
26143,26143,24,4,3260,11,8,2,6,0,4,1,0,0,39,0,0
26144,26144,6,4,9642,11,8,4,13,3,4,1,0,0,49,39,0
26145,26145,7,4,21084,9,12,4,12,3,4,1,0,0,39,39,0
26146,26146,37,5,3609,11,8,2,4,0,4,1,94,0,59,39,1
26147,26147,7,4,8709,11,8,4,12,3,1,1,0,0,39,35,0
26148,26148,51,0,9457,15,9,4,0,4,2,0,0,0,39,39,0
26149,26149,35,4,8199,9,12,2,4,0,4,1,0,0,39,39,1
26150,26150,25,4,8237,15,9,2,7,5,4,0,0,0,36,39,1
26151,26151,9,4,13996,15,9,4,3,3,4,1,0,0,39,39,0
26152,26152,39,4,13287,3,1,5,7,4,4,1,0,0,39,39,0
26153,26153,39,1,2057,9,12,4,14,1,2,1,0,52,64,39,0
26154,26154,9,4,19369,11,8,2,7,0,4,1,0,0,90,39,0
26155,26155,38,6,1593,15,9,2,5,0,4,1,0,0,69,39,0
26156,26156,9,4,10131,11,8,4,1,1,4,1,0,0,52,39,0
26157,26157,9,4,19428,11,8,2,10,0,4,1,0,0,39,39,0
26158,26158,37,4,13396,15,9,2,12,0,4,1,0,0,39,39,1
26159,26159,21,4,16306,9,12,0,4,1,4,1,0,0,39,39,0
26160,26160,20,4,11565,8,10,4,1,3,4,0,0,0,37,39,0
26161,26161,5,0,12853,15,9,4,0,3,4,1,0,0,39,39,0
26162,26162,17,4,20414,11,8,2,7,0,2,1,0,0,39,39,0
26163,26163,6,4,18858,15,9,4,6,3,4,1,0,0,24,39,0
26164,26164,19,4,10572,11,8,2,3,0,4,1,0,0,44,39,1
26165,26165,21,0,17229,1,6,4,0,1,4,0,0,0,31,39,0
26166,26166,32,4,311,15,9,0,8,1,4,0,0,0,39,39,0
26167,26167,13,4,1786,9,12,2,10,0,4,1,0,0,39,39,1
26168,26168,57,4,6330,11,8,6,1,1,4,0,109,0,39,39,1
26169,26169,24,4,8809,1,6,0,4,4,4,0,0,0,35,39,0
26170,26170,0,4,15817,1,6,4,8,3,4,0,0,0,19,39,0
26171,26171,42,4,5090,11,8,4,3,1,2,1,0,0,59,39,0
26172,26172,21,4,8991,9,12,2,10,0,4,1,0,0,39,39,1
26173,26173,7,2,6090,9,12,4,10,3,4,0,0,0,19,39,0
26174,26174,0,0,4181,2,7,4,0,3,4,1,0,0,39,39,0
26175,26175,39,6,3555,11,8,2,3,0,4,1,0,0,54,39,0
26176,26176,11,1,18195,9,12,4,13,1,2,0,0,0,39,39,0
26177,26177,18,4,2515,1,6,2,3,0,4,1,0,0,39,39,0
26178,26178,17,2,7268,15,9,2,8,5,4,0,0,0,39,39,0
26179,26179,18,2,1018,15,9,2,11,0,4,1,0,0,49,39,0
26180,26180,48,2,7261,15,9,4,10,1,2,0,0,0,39,39,0
26181,26181,27,4,9427,1,6,2,8,0,2,1,0,0,59,39,0
26182,26182,13,4,20641,11,8,4,1,4,4,0,0,0,39,39,0
26183,26183,16,0,15323,8,10,4,0,3,4,0,0,0,39,39,0
26184,26184,19,4,18902,9,12,0,4,1,4,1,0,38,39,39,0
26185,26185,26,2,18282,2,7,2,14,0,4,1,0,22,39,39,0
26186,26186,9,4,8125,15,9,2,3,0,4,1,0,0,39,33,0
26187,26187,6,4,19765,11,8,0,9,4,4,0,0,0,39,39,0
26188,26188,3,4,2419,15,9,4,1,3,4,0,0,0,39,39,0
26189,26189,20,4,6088,12,13,2,13,0,4,1,0,0,59,39,1
26190,26190,16,2,5167,9,12,2,10,0,4,1,0,0,49,39,0
26191,26191,26,4,2149,11,8,2,3,0,4,1,0,0,39,39,0
26192,26192,20,4,3340,9,12,2,4,0,4,1,0,0,59,39,1
26193,26193,0,4,15979,1,6,4,8,3,4,1,0,0,11,39,0
26194,26194,15,4,19126,15,9,2,14,0,4,1,0,0,49,39,0
26195,26195,16,7,15868,15,9,4,13,1,4,0,0,0,39,39,0
26196,26196,16,4,12581,9,12,2,12,0,4,1,0,0,49,39,0
26197,26197,63,0,320,14,14,2,0,0,4,1,102,0,9,39,1
26198,26198,7,4,13648,11,8,4,1,1,4,0,0,52,36,39,0
26199,26199,32,4,6947,11,8,2,3,0,4,1,91,0,39,39,1
26200,26200,14,2,13337,11,8,2,11,0,4,1,0,0,39,39,1
26201,26201,65,6,15688,11,8,2,3,0,4,1,0,0,39,5,0
26202,26202,15,4,2673,1,6,2,1,0,4,1,0,0,44,39,0
26203,26203,35,4,19700,15,9,4,1,4,4,1,0,0,44,39,0
26204,26204,8,4,5623,11,8,4,8,1,4,1,0,0,39,39,0
26205,26205,48,6,512,15,9,6,4,4,4,0,0,0,44,39,0
26206,26206,20,4,6711,8,10,2,8,0,4,1,0,0,39,39,0
26207,26207,10,0,7498,11,8,2,0,3,4,0,0,0,14,39,0
26208,26208,54,4,6808,11,8,6,12,2,4,0,0,0,15,39,0
26209,26209,49,4,9879,11,8,2,6,0,4,1,0,0,39,39,0
26210,26210,20,4,2801,9,12,2,8,0,1,1,0,0,29,3,0
26211,26211,0,4,1164,0,5,4,8,3,4,0,0,0,24,39,0
26212,26212,13,6,16208,15,9,2,1,5,4,0,0,0,54,39,1
26213,26213,18,4,5194,1,6,0,14,1,4,1,0,0,39,39,0
26214,26214,23,4,14440,15,9,0,4,1,4,0,0,0,39,39,0
26215,26215,26,4,18738,5,3,2,7,0,4,1,0,0,39,39,0
26216,26216,17,6,19801,11,8,2,4,0,4,1,0,0,59,39,0
26217,26217,35,6,12232,11,8,2,5,0,4,1,0,0,92,39,1
26218,26218,11,1,17579,9,12,4,10,1,4,0,0,0,39,39,0
26219,26219,2,4,11144,15,9,4,8,3,4,0,0,0,19,39,0
26220,26220,4,4,6442,11,8,3,7,3,4,0,0,0,39,6,0
26221,26221,22,4,21438,9,12,2,10,0,2,1,0,0,29,39,0
26222,26222,0,4,1346,5,3,4,12,3,4,1,0,0,7,39,0
26223,26223,44,4,13042,9,12,0,9,1,4,0,0,0,11,0,0
26224,26224,35,4,12112,11,8,0,12,1,4,0,0,0,39,11,0
26225,26225,36,4,17650,9,12,0,13,1,4,0,0,0,39,39,0
26226,26226,6,4,12832,11,8,0,8,3,4,0,0,0,9,39,0
26227,26227,48,6,9159,11,8,2,4,0,4,1,0,0,58,39,1
26228,26228,11,4,13178,11,8,5,11,2,4,1,0,0,39,39,0
26229,26229,46,4,13432,15,9,2,12,0,4,1,0,0,29,39,0
26230,26230,20,4,13101,6,4,2,14,0,4,1,0,0,64,39,0
26231,26231,26,4,18175,11,8,2,7,5,4,0,0,0,39,27,0
26232,26232,23,6,15492,14,14,2,10,5,4,0,108,0,39,39,1
26233,26233,29,6,20087,7,11,0,3,1,4,1,0,0,39,39,0
26234,26234,22,7,7088,15,9,2,11,0,4,1,0,0,39,39,0
26235,26235,13,2,3837,8,10,0,11,4,0,0,0,0,39,39,0
26236,26236,35,4,8504,2,7,4,7,1,4,1,0,0,39,39,0
26237,26237,16,4,9916,15,9,4,1,1,4,1,0,0,49,39,0
26238,26238,8,4,14335,15,9,4,8,1,3,0,0,0,39,39,0
26239,26239,25,1,5212,9,12,0,1,3,4,1,0,0,39,39,0
